"country","year","edu","idh"
"Argentina",1998,11,0.753
"Argentina",1999,12.5,0.764
"Argentina",2000,12.4,0.771
"Argentina",2001,13.8,0.776
"Argentina",2002,10.8,0.77
"Argentina",2003,10.5,0.775
"Argentina",2004,9.88,0.78
"Argentina",2005,10.4,0.782
"Argentina",2006,11.6,0.788
"Argentina",2007,12.7,0.792
"Argentina",2008,13.7,0.794
"Argentina",2009,14.8,0.802
"Argentina",2010,13.7,0.816
"Argentina",2011,14.2,0.822
"Argentina",2012,14.6,0.823
"Argentina",2013,14.4,0.825
"Argentina",2014,14.5,0.826
"Argentina",2015,16,0.827
"Bolivia",1998,13.5,0.591
"Bolivia",1999,14.3,0.6
"Bolivia",2000,12.6,0.607
"Bolivia",2002,15.8,0.617
"Bolivia",2003,16.6,0.62
"Bolivia",2006,13.6,0.626
"Bolivia",2008,18.4,0.636
"Bolivia",2009,21.7,0.643
"Bolivia",2010,20.8,0.649
"Bolivia",2011,17.1,0.655
"Bolivia",2012,23.4,0.661
"Bolivia",2013,16.3,0.666
"Bolivia",2014,23.5,0.671
"Brazil",1999,10.7,0.677
"Brazil",2000,10.6,0.685
"Brazil",2001,10.4,0.692
"Brazil",2002,9.83,0.699
"Brazil",2004,12.7,0.694
"Brazil",2005,15.3,0.698
"Brazil",2007,17,0.704
"Brazil",2008,18.2,0.714
"Brazil",2009,19.8,0.716
"Brazil",2010,20.6,0.724
"Brazil",2011,20.2,0.73
"Brazil",2012,20.8,0.734
"Brazil",2013,19.8,0.747
"Brazil",2014,19.6,0.754
"Chile",1997,13.3,0.742
"Chile",1998,11.6,0.748
"Chile",2000,13.8,0.761
"Chile",2002,15.3,0.775
"Chile",2003,14.5,0.781
"Chile",2004,12.2,0.79
"Chile",2005,11.5,0.796
"Chile",2006,10.4,0.797
"Chile",2007,11.2,0.804
"Chile",2008,13.9,0.816
"Chile",2009,16.1,0.815
"Chile",2010,14.5,0.82
"Chile",2011,14.9,0.826
"Chile",2012,16.8,0.831
"Chile",2013,15.7,0.841
"Chile",2014,14,0.845
"Chile",2015,15.1,0.847
"Colombia",1998,13.5,0.65
"Colombia",1999,15.5,0.65
"Colombia",2000,12.1,0.653
"Colombia",2001,13.2,0.656
"Colombia",2004,16,0.658
"Colombia",2005,15.5,0.669
"Colombia",2007,12.5,0.683
"Colombia",2008,12.4,0.691
"Colombia",2009,15.6,0.695
"Colombia",2010,15.7,0.7
"Colombia",2011,15,0.707
"Colombia",2012,15.2,0.712
"Colombia",2013,17,0.72
"Colombia",2014,17.5,0.724
"Colombia",2015,17.8,0.727
"Colombia",2016,17.6,NA
"Ecuador",1999,3.81,0.668
"Ecuador",2000,2.85,0.67
"Ecuador",2009,11,0.703
"Ecuador",2010,10.4,0.71
"Ecuador",2011,11.1,0.717
"Ecuador",2012,10.5,0.725
"Ecuador",2013,11.6,0.737
"Ecuador",2014,10.4,0.739
"Ecuador",2015,8.96,0.739
"Ecuador",2016,9.35,NA
"Guyana",2003,18.3,0.613
"Guyana",2006,8.41,0.62
"Guyana",2007,8.72,0.618
"Guyana",2009,6,0.618
"Guyana",2010,7.95,0.624
"Guyana",2011,7.78,0.63
"Guyana",2012,7.75,0.633
"Paraguay",2000,11.6,0.624
"Paraguay",2001,10.7,0.632
"Paraguay",2002,10.1,0.642
"Paraguay",2003,10.5,0.639
"Paraguay",2004,9.44,0.646
"Paraguay",2007,9.14,0.654
"Paraguay",2010,10.5,0.675
"Paraguay",2011,11.2,0.679
"Paraguay",2012,14.4,0.679
"Peru",1998,7.74,0.664
"Peru",1999,8.36,0.674
"Peru",2000,8.07,0.677
"Peru",2001,7.2,0.686
"Peru",2002,6.49,0.686
"Peru",2003,6.77,0.685
"Peru",2004,7.26,0.692
"Peru",2005,6.83,0.693
"Peru",2006,7.44,0.696
"Peru",2007,7.62,0.7
"Peru",2008,8.62,0.706
"Peru",2009,9.71,0.708
"Peru",2010,8.92,0.721
"Peru",2011,8.38,0.725
"Peru",2012,9.28,0.731
"Peru",2013,11.3,0.735
"Peru",2014,12.6,0.737
"Peru",2015,13,0.74
"Peru",2016,11.8,NA
"Uruguay",1999,7.15,0.738
"Uruguay",2000,7.26,0.742
"Uruguay",2001,9.63,0.746
"Uruguay",2002,6.98,0.747
"Uruguay",2003,5.85,0.75
"Uruguay",2004,7.37,0.753
"Uruguay",2005,8.34,0.756
"Uruguay",2006,8.57,0.76
"Venezuela",2006,8.03,0.728
"Venezuela",2007,9.08,0.745
"Venezuela",2009,17.9,0.754
"Venezuela",2015,0.0186,0.767
