country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,1430000,,,,,,,,,,,,,,,,,,,1840000,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7470,11200,15000,,19800,21200,,,,26700,36100,32900,29000,20000,11000,6980,7560,7100,
Algeria,,,,881000,796000,746000,703000,674000,660000,677000,661000,673000,706000,753000,741000,753000,731000,701000,675000,647000,639000,575000,536000,567000,576000,569000,592000,616000,,479000,437000,334000,272000,243000,203000,183000,168000,154000,100000,30000,32000,27400,26000,,,24900,27900,
Angola,,,,,,,,,,,,,651000,718000,,,,,,,,,,,,,,,1040000,,,,,,,,,,944000,1010000,1010000,955000,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1820,1910,2230,2440,2600,,2600,2130,,
Argentina,161000,,,,113000,122000,,,,,,,,,,,,252000,,,,173000,,,,,,,2550,10300,18900,,,19100,33500,27200,22000,17600,23400,23700,39600,36700,35100,27900,14100,11600,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,22100,,14900,9440,3290,,,,,,,,11000,12100,
Australia,,57700,,78900,88300,46200,30500,425,294,329,713,3010,20200,35200,61800,59700,49000,41000,31700,30700,37300,46800,50900,57600,62500,98800,91600,99400,101000,108000,110000,115000,113000,99800,92100,82500,78800,64300,62100,60000,55100,43000,45900,50100,58400,60300,69200,
Austria,,46600,51200,58500,62900,63700,65500,,,,,,,,,,,,,19500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,17400,18100,42500,85300,81300,47900,74200,85200,56900,84700,102000,103000,110000,98100,95400,92600,89400,84500,74700,78400,64300,53700,31400,25300,29700,27500,
Bahamas,,,26,1170,193,,349,,,,877,,,,1300,,,,,,,,4050,3960,2600,,,,,3040,,,,,1950,481,956,447,461,1240,693,,,,,,3740,
Bahrain,,8600,7500,7140,6680,5610,7130,7410,8520,8460,7850,8150,9010,7990,6540,4470,1970,2340,933,526,,351,1850,1270,1360,598,96,268,39,331,1560,4060,4480,5430,5990,8530,7390,,,,,7940,7270,6390,4450,2140,2330,
Bangladesh,4690000,,,3080000,,,2600000,3200000,3330000,,,3880000,,4380000,4710000,5100000,5400000,5690000,4360000,4450000,4090000,,,,,,,,,,,,,,,792000,720000,,1230000,1080000,842000,,,,,,,
Barbados,,5170,4460,4090,,,359,495,520,338,,1710,1720,1120,,,,,,74,597,,2580,,,,,,,681,1080,1310,1950,1980,2230,2250,1810,1180,719,1390,1120,1460,,,1920,1680,1570,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,81000,,,,,,17000,29600,27200,32000,38200,36600,35600,,27700,29700,31300,20300,24700,24700,20900,14400,
Belgium,,,,,,,,32600,,20100,15300,24100,23000,47100,51500,53600,42100,31400,22400,,,24900,35300,16800,21400,21200,17900,,,6380,5960,6070,7850,15100,27000,29500,26900,19900,15500,16000,17800,17000,14600,14500,15100,12300,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,1420,2610,,2600,1970,2190,1940,2160,1720,1340,929,1090,204,522,395,359,376,
Benin,,,,,,,,,,,,,,,334000,340000,364000,,393000,403000,494000,,442000,422000,425000,416000,406000,386000,,,,,,191000,157000,214000,177000,,140000,83700,75600,79100,70200,,59900,,,
Bhutan,,,,,,,,,48900,48700,,,,,,,,,,,,,,,,,,,51800,51400,48500,44600,,,,32400,28100,,21700,16700,14300,13400,11500,12800,,15600,17300,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57300,56100,48500,46000,43500,37500,40100,39900,40600,44600,68100,27500,60700,92100,139000,145000,149000,140000,126000,
Botswana,79100,85100,85100,85100,81000,72900,67600,62400,62700,61600,55300,46800,,42000,42900,40100,39100,38400,38700,38600,41200,36800,39400,40800,40300,63800,60300,,49000,50600,47300,42800,42400,42500,40200,42900,39600,41800,43100,40800,,,21800,19800,33900,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244000,,150000,432000,768000,627000,549000,,1060000,197000,454000,,535000,555000,950000,791000,772000,,
Brunei,,,,,,,,2660,2730,5550,5810,7190,7920,7720,7570,,6620,,,,,3550,2970,2060,2050,749,,,,,,,,,,,,,,1130,,,1350,1030,1420,1440,1290,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,21100,10400,9620,11000,10400,13400,11900,9170,12000,8730,1190,795,1640,1150,1200,5580,9260,10900,14000,18900,
