country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,9.73,10.1,7.12,9.31,9.87,8.29,,
Albania,,,,,,,,,,,,,,,,,,,,,30,,
Algeria,,,,,12.2,9.94,,11,11.5,,,,,,,,,,,,,,
Andorra,,,,,,,,7.78,,7.97,7.44,9.73,9.92,,15.7,17.1,17.8,,15.6,13,13.5,12.8,
Antigua and Barbuda,,,,,,,,,,,,,,,8.69,,,,,,,,
Argentina,,,,11,12.5,12.4,13.8,10.8,10.5,9.88,10.4,11.6,12.7,13.7,14.8,13.7,14.2,14.6,14.4,14.5,16,,
Armenia,,,,,,,,,,,,,,,,,,10.8,11,,11,11.2,
Australia,15.6,,,,,16.7,,,,,17.9,17.7,17.3,17.6,19.9,22.4,20.1,18.2,18.8,18.3,,,
Austria,,,,24.5,24.4,22.5,22.4,22.9,22.6,22,22.6,22.6,22.2,23.2,25.1,24.9,24.6,21.9,23.4,23.2,,,
Bahrain,,,,,,,,,,,,,,,,,,,10.5,10.3,11.2,,
Bangladesh,,,,,,,,,,,,7.82,8.93,8.42,7.69,,8.3,,,,,9.31,
Barbados,,,,,10.5,14,19.3,17.7,19.3,19.7,19,,,22.7,,,,,,,,20.7,
Belgium,,,,,,,17.8,17.9,19.2,19.2,19.3,19.8,19.9,21.8,21.5,22.4,22.3,,22.7,22.2,,,
Belize,,,,,16.9,15.7,,,,12.4,13.7,14.1,,15.4,16.1,18.2,,15,15.9,16.2,14.9,,
Benin,,,,,,10.9,12,10.1,10,10.5,10.1,11.3,,11.5,12.4,13.7,,10.8,10.5,9.61,9.16,,
Bhutan,,,,,,,,,,8.24,10.4,,,7.37,9.11,7.91,9.67,,8.31,13.8,,,
Bolivia,,,,13.5,14.3,12.6,,15.8,16.6,,,13.6,,18.4,21.7,20.8,17.1,23.4,16.3,23.5,,,
Botswana,,,,,,,,,,,17.8,,13.9,,10.2,,,,,,,,
Brazil,,,,,10.7,10.6,10.4,9.83,,12.7,15.3,,17,18.2,19.8,20.6,20.2,20.8,19.8,19.6,,,
Brunei,,,,,,,,,,,,,,,,5.02,,,,,,8.93,
Bulgaria,,,,12.5,,,15.1,15.3,17.7,11.1,22.1,21.5,20.4,22.6,22.5,21,18.4,18.3,22.4,,,,
Burkina Faso,,,,,,,,,,,33.3,29.6,19.6,,,18.1,16.9,16.4,18.2,20.2,16,,
Burundi,,,,,12,9.08,10.2,10.6,,14.1,13.4,,,13.8,16.4,,13.1,12,11.6,,,,
Cambodia,,,,5.04,,5.64,6.53,5.12,,,,,,,5,4.83,4.87,5.18,5.4,5.3,,,
Cameroon,,,,,,,,,,,5.92,6.33,6.71,5.02,6.17,5.82,5.18,5.35,,,,,
Cape Verde,,,,,,,,17.4,,,19.5,18.8,13.7,12.7,15.8,,16,,14.7,16.7,17.1,17.8,
Central African Republic,,,,,,,,,,,,7.45,5.44,,4.57,4.48,,,,,,,
Chad,,,16.2,9.35,,,,,,5.54,6.19,,,,9.43,7.04,5.85,6.26,,,,,
Chile,,,13.3,11.6,,13.8,,15.3,14.5,12.2,11.5,10.4,11.2,13.9,16.1,14.5,14.9,16.8,15.7,14,15.1,,
China,,,,5.9,,,,,,,,,,,,,,,,,,,
Colombia,,,,13.5,15.5,12.1,13.2,,,16,15.5,,12.5,12.4,15.6,15.7,15,15.2,17,17.5,17.8,17.6,
Comoros,,,,9.16,,,,9.42,,,,,,28.1,,,16.8,,14.6,17.3,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,3.26,,,7.83,,,,
"Congo, Rep.",,,,,,,,7.36,,,3.11,,,,,12,,,,,,,
Costa Rica,,,,,17.3,15.5,15,16.3,,16.8,,14.4,14.8,16.1,21.1,24.3,23,24.6,24.6,24.9,26.5,24.5,
Cote d'Ivoire,,,15.7,14.4,14.6,13.2,12.9,,,,,16.2,16.4,15.4,14.8,,12.4,13.3,13.2,12.6,13.4,,
Cuba,,,,22.3,25.1,28.3,28.9,37.3,,40.5,40.3,33.7,45.8,46.5,43.6,49.5,,,,,,,
Cyprus,,,,,15.8,14.6,17.3,18.1,21.3,19.7,20.4,21.8,23.4,25.9,28.9,30.9,32.2,,31.4,32.3,,,
Czech Republic,,,,9.66,10.4,10.6,10.2,10.8,11.7,11.6,11.5,12.4,11.9,12.4,15.1,14.9,15.4,15.7,15.5,15.3,,,
Denmark,,,,26.3,24.1,23.6,24.8,24,,24.2,24.6,23.9,23.8,24.1,28,27.9,21.7,25.6,25.3,25.1,,,
Djibouti,,,,41.8,,,,,,,,21.6,22.8,23.3,,,,,,,,,
Dominica,,,,,,,,,,,,,13.7,17.5,13.7,15.1,15,13.7,,,15,,
Dominican Republic,,,,,,,,7.81,,4.54,6.94,,8.42,6.84,6.86,7.21,7.03,8.85,13.8,14.4,14.3,16.2,
