country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,10.8,10.4,7.3,9.43,10.1,8.36,,
Albania,,,,,,,,,,,,,,,,,,,5.87,,6.81,,
Algeria,,,,,21.2,17.4,,17.9,17.9,,,,,,,,,,,,,,
Andorra,,,,,,,,6.08,,6.7,6.95,9.92,11.1,,17.8,13.3,13.5,,16.4,11.3,14.4,13.7,
Antigua and Barbuda,,,,,,,,,,,,,,,13.3,,10.5,,,,,,
Argentina,,,,15.2,16.7,15.8,16.8,15.2,12.6,12.9,16.1,16.5,17.7,19,22,19.3,20.7,20.9,21.8,21.4,23.4,,
Armenia,,,,,,,,,,,,,,,,,,,14.8,14.5,,,
Australia,16,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,28.9,29.3,27.2,27.1,27,27.9,26.6,25.4,25.7,25.4,26.3,29.3,28.4,29.4,26.8,27.4,26.9,,,
Bahrain,,,,,,,,,,,,,,,,,,,15.9,15.8,17.5,,
Bangladesh,,,,,10.3,9.58,,10.7,11.6,12.6,,12.9,12.5,11.9,10.6,12.9,11.6,10.7,,,,9.74,
Barbados,,,,,17.3,21,25.2,25.3,27.8,24.5,22.5,,22.4,20.3,21.4,25.8,,,,19.2,,27.9,
Belgium,,,,,,,23.2,23.8,22.1,22.8,21.7,21.5,21.8,23.8,24.8,24.6,25.3,,25.9,25.7,,,
Belize,,,,,18,15.8,,,,19.2,20.5,20.6,,22,23.5,26.1,,23,21.7,23.6,25.7,,
Benin,,,,,,22.2,22.4,18.2,20.1,22.6,,,,,,,,,13.8,12.3,10.8,,
Bhutan,,,,,,,,,,,,,,37.5,34.9,27.4,32,,34.8,36.6,32.1,,
Bolivia,,,,12,11.8,10.5,,13.8,14.2,,,14.4,,16.6,19.4,18.7,17.9,13,18.9,18.1,,,
Botswana,,,,,,,,,,,45.1,,41.7,,36.4,,,,,,,,
Brazil,,,,,,,,10.2,,11.5,13.1,,17.7,19.2,20.1,21.1,22,22.4,21.4,21.6,,,
Brunei,,,,,,,,,,,,,,,,7.64,,,,10.2,,23.8,
Bulgaria,,,,14.3,,,18.3,18,19.5,10.1,21.1,20,19.3,22.5,23.2,22.6,20.1,19.5,21.7,,,,
