country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,,,1.1,,,,,,2,,,1.1,,,0.4,,,,1.1,,,,,
Algeria,,,,,,,,,,,,6.5,,,,,,,5.9,,,,,,,,,,,,,,,,0.5,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,30.1,,,,,,,,,
Argentina,,,,0.4,,,,,,,,,,,1.1,2.1,2.4,2.3,4.1,4.6,4.1,4.6,4.8,5.7,9.4,14,7,5.4,3.9,3.3,2.9,2.6,2.6,1.1,0.9,0.8,0.8,0.7,,0.6,
Armenia,,,,,,,,,,,,,,,,,,,,,,,16.9,,19.3,15.1,11.4,7.9,4.4,3.2,2.8,1.4,1.9,1.9,2.2,1.6,2.2,2.3,1.9,1.8,
Australia,,,,,1,,,,1,,,,0.7,,,,,,0.7,,,,,,0.7,,1,,,,,0.5,,0.5,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,,7.3,,,,,,2.7,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,29.9,,25.4,,,37.8,,,44.2,,,,35.7,,,,,34.8,,,,,25.7,,,,,19.6,,,,,,14.8,
Belarus,,,,,,,,,,,,,,,,,,,,,,11.5,10.4,7.1,3.2,2,1.4,0.3,0.4,0.1,0.1,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2,,,,
Belize,,,,,,,,,,,,,,,,,10.1,9.9,,13.3,16,15.1,14.9,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,,53.1,,,,49.6,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,8,,,,,2.2,,,,,1.5
Bolivia,,,,,,,,,,,,,,7.1,,,,,,,19.3,,25.3,28.6,22.8,24.7,,13.7,19.3,16.4,12.4,11.1,10.5,,7.3,8.2,6.9,5.8,6.4,7.1,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,0.2,,
Botswana,,,,,,,,,42.6,,,,,,,,34.8,,,,,,,,,29.8,,,,,,,18.2,,,,,,,,
Brazil,,,,,21.4,21.8,27.7,26.9,23.1,10.5,17.8,20.1,18.3,21.6,,20.9,19.9,,13,14.2,14,12.7,13.4,,11.6,10.3,11.1,9.7,8.6,7.2,6.8,5.6,5.4,,4.7,3.8,3.8,2.8,3.4,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.7,1.2,1.2,2,2.2,2,1.7,1.5,,,
Burkina Faso,,,,,,,,,,,,,,,,,,83.1,,,,81.6,,,,,57.3,,,,,,55.3,,,,,43.7,,,
Burundi,,,,,,,,,,,,,,,,81.1,,,,,,84.1,,,,,,,,77.7,,,,,,,71.7,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,48.1,,,,,23.1,,,,,,29.3,,,,,,,23.8,,,
Canada,,,,,0.5,,,,,,0.2,,,,0.2,,,0.2,,,0.5,0.5,,0.2,,,,0.2,,,0.2,,,0.2,,,0.5,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,8.1,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,84.3,,,,,,,,,,,64.8,,,,,66.3,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,,,,,,,,38.4,,,,,,
Chile,,,,,,,,,,,11.7,,,8.1,,4.7,,5,,3.4,,3.5,,4.4,,,4.2,,,2.4,,,2.6,,1.6,,0.9,,1.3,,
China,,,,,,,,,,,,,,66.6,,,57,,,42,,,40.5,,,31.9,,,18.7,,,14.7,,11.2,7.9,6.5,1.9,1.4,0.7,,
Colombia,,,,,,,,,,,,,,,,8.9,,,,16.5,,,20.1,16.4,19.7,14.3,12,10.9,9.7,,,10.4,9,7.8,6.4,6.3,5.7,5,4.5,4.5,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,18.1,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,,,,,77.1,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,37,,,,,,
